Province/State,Country/Region,Lat,Long,Population
,Venezuela,6.4238,-66.5897,28515829
,Vietnam,16,108,96462106
,West Bank and Gaza,31.9522,35.2332,4685306
,Western Sahara,24.2155,-12.8858,597339
,Yemen,15.552727,48.516388,29161922
,Zambia,-15.4167,28.2833,17861030
,Zimbabwe,-20,30,14645468
,Solomon Islands,-9.32,159.6,652858
,Vanuatu,-15.43,166.97,292680
,Marshall Islands,7.4,168.76,58413
Nunavut,Canada,70.2998,-83.1076,38780
Repatriated Travellers,Canada,57.0280,-101.6598,100
,Samoa,-13.78,-172.11,197097
